PUBMEDID;SITE COUNT;NAME;AUTHOR;YEAR;Proteasome inhibitor;untreated
19854138;2;;;;;
25448412;2;;;;;
23012657;2;;;;;
30686098;2;;;;;
9351830;2;;;;;
15367667;2;;;;;
14651848;2;;;;;
18316598;2;;;;;
19737936;2;;;;;
22863316;2;;;;;
21572392;2;;;;;
20003470;2;;;;;
20654576;2;;;;;
23853093;2;;;;;
26746706;2;;;;;
16849322;2;;;;;
22855611;2;;;;;
23201124;2;;;;;
28542143;2;;;;;
28458162;2;;;;;
24114844;2;;;;;
21606193;2;;;;;
23457570;2;;;;;
25423885;2;;;;;
21628454;2;;;;;
18347055;2;;;;;
18824541;2;;;;;
21676867;2;;;;;
8887633;2;;;;;
25499082;2;;;;;
27221712;2;;;;;
16210244;2;;;;;
27521268;2;;;;;
9135156;2;;;;;
15469820;2;;;;;
16601690;2;;;;;
23453807;2;;;;;
16166645;2;;;;;
19188440;2;;;;;
19808967;2;;;;;
17965877;2;;;;;
19935683;2;;;;;
27129778;2;;;;;
27729454;2;;;;;
19713527;2;;;;;
28724525;2;;;;;
28439110;2;;;;;
22072751;2;;;;;
26975375;2;;;;;
9724653;2;;;;;
21708125;2;;;;;
28408404;2;;;;;
8550590;2;;;;;
27232758;2;;;;;
28489822;2;;;;;
18083706;2;;;;;
23589305;2;;;;;
32111827;2;;;;;
25778398;2;;;;;
29069083;2;;;;;
15468071;2;;;;;
23453969;2;;;;;
27692986;2;;;;;
28948228;2;;;;;
19542455;2;;;;;
16687393;2;;;;;
23637190;2;;;;;
29021376;2;;;;;
24425877;2;;;;;
26825710;2;;;;;
17574025;2;;;;;
29038250;2;;;;;
12538644;2;;;;;
21768102;2;;;;;
27880896;2;;;;;
29269414;2;;;;;
16096638;2;;;;;
19136968;2;;;;;
23959799;2;;;;;
27538435;2;;;;;
24466302;2;;;;;
33568778;2;;;;;
22406003;1;;;;;
24873882;1;;;;;
18923646;1;;;;;
22101936;1;;;;;
23770847;1;;;;;
27430721;1;;;;;
27264184;1;;;;;
11460167;1;;;;;
18931787;1;;;;;
19460345;1;;;;;
17460694;1;;;;;
27637147;1;;;;;
28972160;1;;;;;
20543557;1;;;;;
23319590;1;;;;;
22692198;1;;;;;
22897849;1;;;;;
28131816;1;;;;;
28099510;1;;;;;
34232536;1;;;;;
30224829;1;;;;;
18490743;1;;;;;
20703100;1;;;;;
21857162;1;;;;;
26748827;1;;;;;
27034005;1;;;;;
21613257;1;;;;;
22157819;1;;;;;
22103913;1;;;;;
22117219;1;;;;;
18093184;1;;;;;
12794086;1;;;;;
19880507;1;;;;;
26716510;1;;;;;
27618486;1;;;;;
25944903;1;;;;;
15466860;1;;;;;
28115710;1;;;;;
26416890;1;;;;;
25483963;1;;;;;
26240340;1;;;;;
31186535;1;;;;;
17936708;1;;;;;
23519470;1;;;;;
23871831;1;;;;;
23564455;1;;;;;
25703348;1;;;;;
23512198;1;;;;;
28683321;1;;;;;
21355096;1;;;;;
17108083;1;;;;;
20129063;1;;;;;
23740247;1;;;;;
25527505;1;;;;;
25939025;1;;;;;
26549024;1;;;;;
22828868;1;;;;;
19150425;1;;;;;
24876223;1;;;;;
24986865;1;;;;;
23885119;1;;;;;
29281621;1;;;;;
11842186;1;;;;;
26488816;1;;;;;
16803894;1;;;;;
28059589;1;;;;;
28468752;1;;;;;
11239454;1;;;;;
19357255;1;;;;;
19789334;1;;;;;
20637659;1;;;;;
22315223;1;;;;;
26344566;1;;;;;
23974797;1;;;;;
15454491;1;;;;;
33106322;1;;;;;
16785530;1;;;;;
18946766;1;;;;;
20038579;1;;;;;
20423330;1;;;;;
23533280;1;;;;;
27502483;1;;;;;
27356871;1;;;;;
28377502;1;;;;;
17403670;1;;;;;
17352736;1;;;;;
20932475;1;;;;;
25765655;1;;;;;
26124138;1;;;;;
20040763;1;;;;;
23572508;1;;;;;
22614015;1;;;;;
26291555;1;;;;;
28263967;1;;;;;
25727006;1;;;;;
26503230;1;;;;;
26786097;1;;;;;
19791798;1;;;;;
20419159;1;;;;;
23770285;1;;;;;
23760265;1;;;;;
19503595;1;;;;;
19228710;1;;;;;
28049764;1;;;;;
24030601;1;;;;;
27658392;1;;;;;
28052131;1;;;;;
16957771;1;;;;;
10944113;1;;;;;
16543241;1;;;;;
27153538;1;;;;;
19056892;1;;;;;
22193721;1;;;;;
20971953;1;;;;;
18408733;1;;;;;
10562557;1;;;;;
16702407;1;;;;;
23707388;1;;;;;
30699359;1;;;;;
17363905;1;;;;;
20071582;1;;;;;
21068446;1;;;;;
27818144;1;;;;;
23256043;1;;;;;
24379373;1;;;;;
24287595;1;;;;;
26675548;1;;;;;
29888761;1;;;;;
28969054;1;;;;;
20080579;1;;;;;
19782077;1;;;;;
23559011;1;;;;;
26272920;1;;;;;
16500650;1;;;;;
18079694;1;;;;;
17255932;1;;;;;
27432879;1;;;;;
12239151;1;;;;;
28461335;1;;;;;
12036916;1;;;;;
19851286;1;;;;;
26649818;1;;;;;
24013390;1;;;;;
28661476;1;;;;;
29196608;1;;;;;
14695475;1;;;;;
20501938;1;;;;;
26739236;1;;;;;
28581524;1;;;;;
16307923;1;;;;;
15509584;1;;;;;
27132940;1;;;;;
11485561;1;;;;;
22705350;1;;;;;
26434587;1;;;;;
23965832;1;;;;;
28761001;1;;;;;
17651432;1;;;;;
19843958;1;;;;;
19818714;1;;;;;
14676825;1;;;;;
19854139;1;;;;;
20484053;1;;;;;
20403326;1;;;;;
23452853;1;;;;;
22121020;1;;;;;
23909487;1;;;;;
29021208;1;;;;;
18457658;1;;;;;
22660580;1;;;;;
26832969;1;;;;;
16720573;1;;;;;
19285439;1;;;;;
19440361;1;;;;;
27248498;1;;;;;
27302062;1;;;;;
19995909;1;;;;;
25988170;1;;;;;
26942676;1;;;;;
27452458;1;;;;;
27270888;1;;;;;
16710298;1;;;;;
19305155;1;;;;;
20442396;1;;;;;
24025767;1;;;;;
23455478;1;;;;;
25204656;1;;;;;
25505145;1;;;;;
27136092;1;;;;;
12239156;1;;;;;
11179223;1;;;;;
19322201;1;;;;;
19423771;1;;;;;
19935701;1;;;;;
19950987;1;;;;;
25641559;1;;;;;
29358709;1;;;;;
28490597;1;;;;;
17135271;1;;;;;
16603398;1;;;;;
28218919;1;;;;;
19473961;1;;;;;
19589784;1;;;;;
15386022;1;;;;;
21102657;1;;;;;
22902619;1;;;;;
23117887;1;;;;;
26431207;1;;;;;
26319152;1;;;;;
27452521;1;;;;;
29166606;1;;;;;
28671676;1;;;;;
23238014;1;;;;;
23395003;1;;;;;
23761444;1;;;;;
19332566;1;;;;;
27716482;1;;;;;
17304220;1;;;;;
23063562;1;;;;;
16713563;1;;;;;
23616576;1;;;;;
23727017;1;;;;;
17349959;1;;;;;
25582197;1;;;;;
26090800;1;;;;;
21772249;1;;;;;
25519132;1;;;;;
26738589;1;;;;;
30923040;1;;;;;
27798683;1;;;;;
18719106;1;;;;;
22388352;1;;;;;
24043303;1;;;;;
27404360;1;;;;;
27438768;1;;;;;
28422741;1;;;;;
15525528;1;;;;;
19523847;1;;;;;
23109336;1;;;;;
19682329;1;;;;;
26988343;1;;;;;
2538923;1;;;;;
12226657;1;;;;;
24019522;1;;;;;
25605023;1;;;;;
27185884;1;;;;;
22323446;1;;;;;
19319192;1;;;;;
23416615;1;;;;;
27578003;1;;;;;
22408259;1;;;;;
16267042;1;;;;;
17392432;1;;;;;
21148409;1;;;;;
27875302;1;;;;;
27753536;1;;;;;
21896657;1;;;;;
23076824;1;;;;;
26008206;1;;;;;
26556865;1;;;;;
26774286;1;;;;;
10096573;1;;;;;
23401860;1;;;;;
24072712;1;;;;;
25907794;1;;;;;
27808481;1;;;;;
18593948;1;;;;;
17363902;1;;;;;
11555652;1;;;;;
25654763;1;;;;;
12198152;1;;;;;
17541408;1;;;;;
22623107;1;;;;;
23874665;1;;;;;
24134311;1;;;;;
28073915;1;;;;;
21419663;1;;;;;
19706600;1;;;;;
20458442;1;;;;;
26292759;1;;;;;
26748699;1;;;;;
11830488;1;;;;;
30517763;1;;;;;
29279382;1;;;;;
28412322;1;;;;;
15273251;1;;;;;
21362549;1;;;;;
19135894;1;;;;;
19887647;1;;;;;
20064471;1;;;;;
21209006;1;;;;;
23109427;1;;;;;
25596733;1;;;;;
33058421;1;;;;;
16482220;1;;;;;
12459551;1;;;;;
21362548;1;;;;;
15125833;1;;;;;
26157031;1;;;;;
28445460;1;;;;;
19380491;1;;;;;
22902405;1;;;;;
23911286;1;;;;;
26966065;1;;;;;
27307599;1;;;;;
28515150;1;;;;;
33376515;1;;;;;
22981905;1;;;;;
19716789;1;;;;;
17130289;1;;;;;
27666593;1;;;;;
16359901;1;;;;;
23514740;1;;;;;
23455153;1;;;;;
28298444;1;;;;;
23542741;1;;;;;
25505268;1;;;;;
27237050;1;;;;;
28104734;1;;;;;
28846085;1;;;;;
29078376;1;;;;;
24462112;1;;;;;
19767775;1;;;;;
24045951;1;;;;;
24190883;1;;;;;
30394292;1;;;;;
28462918;1;;;;;
17805301;1;;;;;
26843476;1;;;;;
28212375;1;;;;;
29263274;1;;;;;
18316726;1;;;;;
18997815;1;;;;;
24742671;1;;;;;
23123196;1;;;;;
24287696;1;;;;;
27486975;1;;;;;
25622187;1;;;;;
28031478;1;;;;;
27599717;1;;;;;
32755395;1;;;;;
28676638;1;;;;;
29242538;1;;;;;
17347654;1;;;;;
20507985;1;;;;;
23624912;1;;;;;
16627869;1;;;;;
15620648;1;;;;;
18854411;1;;;;;
27203182;1;;;;;
27462448;1;;;;;
30108417;1;;;;;
32929041;1;;;;;
24251111;1;;;;;
25522242;1;;;;;
24292684;1;;;;;
28052875;1;;;;;
27518435;1;;;;;
12874020;1;;;;;
19861535;1;;;;;
22942356;1;;;;;
23907581;1;;;;;
27498865;1;;;;;
22749529;1;;;;;
10694430;1;;;;;
23300075;1;;;;;
24070375;1;;;;;
26766443;1;;;;;
28073008;1;;;;;
28380357;1;;;;;
29180628;1;;;;;
