quality_cutoff	ptm	roi	n_aa_ptm	n_aa_roi	n_ptm_in_roi	n_ptm_not_in_roi	n_naked_in_roi	n_naked_not_in_roi	oddsr	p	p_adj_bf	p_adj_bh
0	p_functional_5	flexible_pattern	8864	599	81	8783	518	80307	1.429768678260082	0.0038506108957259136	0.01925305447862957	0.0038506108957259136
0	p_functional_6	flexible_pattern	3722	599	57	3665	542	85425	2.4512441918416457	1.149744741237273e-08	5.748723706186365e-08	1.742082663654487e-08
0	p_functional_7	flexible_pattern	1586	599	45	1541	554	87549	4.614783170944836	9.108553825829554e-16	4.554276912914777e-15	2.2771384564573886e-15
0	p_functional_8	flexible_pattern	678	599	30	648	569	88442	7.196022912191629	8.254185879978566e-16	4.1270929399892826e-15	2.2771384564573886e-15
0	p_functional_9	flexible_pattern	290	599	14	276	585	88814	7.700953796605971	1.3936661309235897e-08	6.968330654617948e-08	1.742082663654487e-08
